fn,category,115_cc,15_cc,177_cpc,331_cpc,187_cc,242_cpc,244_cpc,185_cc,314_cpc,263_cc,is_robbery
74975176_2002.txt,2002,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
75019565_2002.txt,2002,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True
72602555_2002.txt,2002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True
72374649_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73852973_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
72589246_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
72549309_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
73666042_2002.txt,2002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75126291_2002.txt,2002,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73034408_2002.txt,2002,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,True
72372179_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
74513805_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73965435_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
72065674_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75069453_2002.txt,2002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,True
72121707_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73541378_2002.txt,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
71702650_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75079365_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
71966672_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
73425619_2002.txt,2002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
71959409_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
72593784_2002.txt,2002,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
73981414_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
71842429_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73983207_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
73667691_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
73978510_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75075248_2002.txt,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
74068061_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
72055501_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
72715341_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
72789612_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
72748538_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
71877451_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75036175_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75058771_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73551732_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
73891899_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73146388_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
74359797_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
74626791_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
74493269_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
74944515_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
73814425_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
74148881_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
74984625_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
73343058_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
74889676_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73356500_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
74956458_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
73524178_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
73314401_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
72160197_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73943932_2002.txt,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True
71845695_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
72326300_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
71455170_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
74021190_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
74772523_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
72262239_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75150810_2002.txt,2002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
73673718_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
72660077_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
74990752_2002.txt,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
74394706_2002.txt,2002,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True
71531223_2002.txt,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True
72162196_2002.txt,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
74497384_2002.txt,2002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
75057368_2002.txt,2002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True
74109746_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
71371162_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73473830_2002.txt,2002,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True
74315606_2002.txt,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
71660666_2002.txt,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
73723867_2002.txt,2002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
74055807_2002.txt,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
74646841_2002.txt,2002,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,True
